"","Year","Month","DOMESTIC","INTERNATIONAL","TOTAL","Company"
"1","2002",10,71507,12142,83649,"American Flights"
"2","2002",11,65868,11530,77398,"American Flights"
"3","2002",12,67672,12290,79962,"American Flights"
"4","2003",1,65960,12254,78214,"American Flights"
"5","2003",2,56960,10503,67463,"American Flights"
"6","2003",3,65168,11957,77125,"American Flights"
"7","2003",4,62117,11065,73182,"American Flights"
"8","2003",5,62611,10770,73381,"American Flights"
"9","2003",6,62115,11528,73643,"American Flights"
"10","2003",7,64980,12912,77892,"American Flights"
"11","2003",8,64236,12895,77131,"American Flights"
"12","2003",9,60134,11117,71251,"American Flights"
"13","2003",10,62989,11245,74234,"American Flights"
"14","2003",11,56146,11457,67603,"American Flights"
"15","2003",12,59292,12323,71615,"American Flights"
"16","2004",1,58732,12147,70879,"American Flights"
"17","2004",2,55969,11387,67356,"American Flights"
"18","2004",3,60276,12143,72419,"American Flights"
"19","2004",4,58345,11823,70168,"American Flights"
"20","2004",5,58058,11917,69975,"American Flights"
"21","2004",6,58002,12356,70358,"American Flights"
"22","2004",7,58843,13741,72584,"American Flights"
"23","2004",8,58920,13662,72582,"American Flights"
"24","2004",9,52464,10805,63269,"American Flights"
"25","2004",10,56305,11504,67809,"American Flights"
"26","2004",11,54869,11652,66521,"American Flights"
"27","2004",12,57650,12701,70351,"American Flights"
"28","2005",1,55726,12826,68552,"American Flights"
"29","2005",2,51555,11860,63415,"American Flights"
"30","2005",3,58185,13251,71436,"American Flights"
"31","2005",4,55573,12574,68147,"American Flights"
"32","2005",5,57145,12847,69992,"American Flights"
"33","2005",6,56984,13426,70410,"American Flights"
"34","2005",7,59168,14354,73522,"American Flights"
"35","2005",8,58124,13531,71655,"American Flights"
"36","2005",9,52814,11752,64566,"American Flights"
"37","2005",10,53325,11464,64789,"American Flights"
"38","2005",11,53344,11476,64820,"American Flights"
"39","2005",12,54072,12518,66590,"American Flights"
"40","2006",1,54210,12882,67092,"American Flights"
"41","2006",2,48771,11699,60470,"American Flights"
"42","2006",3,55481,13207,68688,"American Flights"
"43","2006",4,53271,12715,65986,"American Flights"
"44","2006",5,55002,13029,68031,"American Flights"
"45","2006",6,53404,12913,66317,"American Flights"
"46","2006",7,54287,13520,67807,"American Flights"
"47","2006",8,54654,13327,67981,"American Flights"
"48","2006",9,50982,11802,62784,"American Flights"
"49","2006",10,52849,11951,64800,"American Flights"
"50","2006",11,50264,11348,61612,"American Flights"
"51","2006",12,52526,12715,65241,"American Flights"
"52","2007",1,52739,12980,65719,"American Flights"
"53","2007",2,46687,11365,58052,"American Flights"
"54","2007",3,53432,12875,66307,"American Flights"
"55","2007",4,50822,12487,63309,"American Flights"
"56","2007",5,52800,12677,65477,"American Flights"
"57","2007",6,50597,12350,62947,"American Flights"
"58","2007",7,53125,12979,66104,"American Flights"
"59","2007",8,53110,12905,66015,"American Flights"
"60","2007",9,50533,11496,62029,"American Flights"
"61","2007",10,53086,11624,64710,"American Flights"
"62","2007",11,50747,11406,62153,"American Flights"
"63","2007",12,50937,12624,63561,"American Flights"
"64","2008",1,50905,12736,63641,"American Flights"
"65","2008",2,46513,11643,58156,"American Flights"
"66","2008",3,49437,12415,61852,"American Flights"
"67","2008",4,47765,11968,59733,"American Flights"
"68","2008",5,52310,12518,64828,"American Flights"
"69","2008",6,50175,12118,62293,"American Flights"
"70","2008",7,52392,12766,65158,"American Flights"
"71","2008",8,52247,12859,65106,"American Flights"
"72","2008",9,47601,10566,58167,"American Flights"
"73","2008",10,49556,10890,60446,"American Flights"
"74","2008",11,44537,11402,55939,"American Flights"
"75","2008",12,46472,11961,58433,"American Flights"
"76","2009",1,46183,12066,58249,"American Flights"
"77","2009",2,42031,10654,52685,"American Flights"
"78","2009",3,46938,11892,58830,"American Flights"
"79","2009",4,45069,11499,56568,"American Flights"
"80","2009",5,46198,11425,57623,"American Flights"
"81","2009",6,45168,11418,56586,"American Flights"
"82","2009",7,47268,12098,59366,"American Flights"
"83","2009",8,47151,11727,58878,"American Flights"
"84","2009",9,44007,10037,54044,"American Flights"
"85","2009",10,45514,10497,56011,"American Flights"
"86","2009",11,43619,10662,54281,"American Flights"
"87","2009",12,45131,11927,57058,"American Flights"
"88","2010",1,45545,11842,57387,"American Flights"
"89","2010",2,40142,10529,50671,"American Flights"
"90","2010",3,46963,12095,59058,"American Flights"
"91","2010",4,44521,11532,56053,"American Flights"
"92","2010",5,44949,12299,57248,"American Flights"
"93","2010",6,44173,12307,56480,"American Flights"
"94","2010",7,46117,13282,59399,"American Flights"
"95","2010",8,46122,12799,58921,"American Flights"
"96","2010",9,43268,10957,54225,"American Flights"
"97","2010",10,44396,11478,55874,"American Flights"
"98","2010",11,43094,11233,54327,"American Flights"
"99","2010",12,44697,12230,56927,"American Flights"
"100","2011",1,44782,12562,57344,"American Flights"
"101","2011",2,39189,11181,50370,"American Flights"
"102","2011",3,46034,12423,58457,"American Flights"
"103","2011",4,44236,11758,55994,"American Flights"
"104","2011",5,43937,12071,56008,"American Flights"
"105","2011",6,44959,12285,57244,"American Flights"
"106","2011",7,46435,13139,59574,"American Flights"
"107","2011",8,45552,12327,57879,"American Flights"
"108","2011",9,43411,10737,54148,"American Flights"
"109","2011",10,44337,11147,55484,"American Flights"
"110","2011",11,41353,10891,52244,"American Flights"
"111","2011",12,42745,12449,55194,"American Flights"
"112","2012",1,43139,12567,55706,"American Flights"
"113","2012",2,41446,11652,53098,"American Flights"
"114","2012",3,45567,12451,58018,"American Flights"
"115","2012",4,42425,11566,53991,"American Flights"
"116","2012",5,45084,12039,57123,"American Flights"
"117","2012",6,43178,12085,55263,"American Flights"
"118","2012",7,44515,13115,57630,"American Flights"
"119","2012",8,44018,12313,56331,"American Flights"
"120","2012",9,40677,10998,51675,"American Flights"
"121","2012",10,42071,11399,53470,"American Flights"
"122","2012",11,41689,11659,53348,"American Flights"
"123","2012",12,44037,12988,57025,"American Flights"
"124","2013",1,44107,12785,56892,"American Flights"
"125","2013",2,40076,11567,51643,"American Flights"
"126","2013",3,45332,13100,58432,"American Flights"
"127","2013",4,43469,12082,55551,"American Flights"
"128","2013",5,45433,12601,58034,"American Flights"
"129","2013",6,44895,12973,57868,"American Flights"
"130","2013",7,46654,13895,60549,"American Flights"
"131","2013",8,46595,13539,60134,"American Flights"
"132","2013",9,42986,11159,54145,"American Flights"
"133","2013",10,45244,11557,56801,"American Flights"
"134","2013",11,42619,11679,54298,"American Flights"
"135","2013",12,42876,13414,56290,"American Flights"
"136","2014",1,43978,13427,57405,"American Flights"
"137","2014",2,39248,11914,51162,"American Flights"
"138","2014",3,45537,13526,59063,"American Flights"
"139","2014",4,43630,12877,56507,"American Flights"
"140","2014",5,44916,13085,58001,"American Flights"
"141","2014",6,45663,13436,59099,"American Flights"
"142","2014",7,47130,14057,61187,"American Flights"
"143","2014",8,45957,13098,59055,"American Flights"
"144","2014",9,43110,10995,54105,"American Flights"
"145","2014",10,44856,11253,56109,"American Flights"
