Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,TOTAL
2000,1,"-61,472","-3,707",0,0,"-65,179"
2000,2,0,-786,0,0,-786
2000,3,"18,402","-1,024",0,0,"17,378"
2000,4,"-20,288","-2,260",0,0,"-22,548"
2001,1,"-16,780","-4,861",0,0,"-21,641"
2001,2,"4,844",-76,0,0,"4,768"
2001,3,"21,891",-642,0,0,"21,249"
2001,4,"-12,492","-1,990",0,0,"-14,482"
2002,1,"-24,432","-3,768",0,0,"-28,200"
2002,2,"-2,261","-1,073",0,0,"-3,334"
2002,3,"7,044",156,0,0,"7,200"
2002,4,"-47,077","-3,550",0,0,"-50,627"
2003,1,"-38,579","-6,521",0,0,"-45,100"
2003,2,"34,173","2,632",0,0,"36,805"
2003,3,"29,274",299,0,0,"29,573"
2003,4,"-18,799",568,0,0,"-18,231"
2004,1,"-35,630","1,212",0,0,"-34,418"
2004,2,"-12,165","9,521",0,0,"-2,644"
2004,3,"60,926","5,263",0,0,"66,189"
2004,4,"-43,849",758,0,0,"-43,091"
2005,1,"-77,654","6,824",0,0,"-70,830"
2005,2,"8,400","4,536",0,0,"12,936"
2005,3,"77,998","4,358",0,0,"82,356"
2005,4,"-32,326","5,566",0,0,"-26,760"
2006,1,"-76,444",-50,0,0,"-76,494"
2006,2,"40,861","8,312",0,0,"49,173"
2006,3,"-33,721","13,668",0,0,"-20,053"
2006,4,"-25,633","16,899",0,0,"-8,734"
2007,1,"-11,084","7,402",0,0,"-3,682"
2007,2,"41,887","8,177",0,0,"50,064"
2007,3,"74,129","3,580",0,0,"77,709"
2007,4,"-2,679","14,061",0,0,"11,382"
2008,1,"-26,943","1,379",0,0,"-25,564"
2008,2,"46,259","9,930",0,0,"56,189"
2008,3,"-71,007","1,719",0,0,"-69,288"
2008,4,"-56,901",-836,0,0,"-57,737"
2009,1,"-12,151",106,0,0,"-12,045"
2009,2,"27,774","-2,051",0,0,"25,723"
2009,3,"77,904",-592,0,0,"77,312"
2009,4,"19,596",-905,0,0,"18,691"
2010,1,"40,395","-29,646",0,0,"10,749"
2010,2,"61,258",-957,0,0,"60,301"
2010,3,"112,329","3,813",0,0,"116,142"
2010,4,"55,904","7,378",0,0,"63,282"
2011,1,"77,559","2,278",0,0,"79,837"
2011,2,"43,568","-1,889",0,0,"41,679"
2011,3,"75,055",229,0,0,"75,284"
2011,4,"59,149",485,0,0,"59,634"
2012,1,"38,826","-2,056",0,0,"36,770"
2012,2,"66,564",-529,0,0,"66,035"
2012,3,"155,567","5,103",0,0,"160,670"
2012,4,"39,255","-1,129",0,0,"38,126"
2013,1,"35,716","-1,822",0,0,"33,894"
2013,2,"99,809","2,400",0,0,"102,209"
2013,3,"281,413","3,902",0,0,"285,315"
2013,4,"75,834",76,0,0,"75,910"
2014,1,"91,485","1,820",0,0,"93,305"
2014,2,"160,713","5,328",0,0,"166,041"
2014,3,"186,939","5,048",0,0,"191,987"
2014,4,"142,721","4,395",0,0,"147,116"
2015,1,"139,811","5,655",0,0,"145,466"
2015,2,"220,289","8,066",0,0,"228,355"
2015,3,"260,560","7,206",0,0,"267,766"
2015,4,"183,247","3,686",0,0,"186,933"
2016,1,"176,846","8,429",0,0,"185,275"
2016,2,"254,065","9,807",0,0,"263,872"
2016,3,"256,931","8,322",0,0,"265,253"
2016,4,"159,447","5,495",0,0,"164,942"
2017,1,"119,652","3,013",0,0,"122,665"
2017,2,"263,274","10,404",0,0,"273,678"
2017,3,"242,512","9,220",0,0,"251,732"
2017,4,"413,168","12,997",0,0,"426,165"
2018,1,"23,052","-7,184",0,0,"15,868"
2018,2,"208,737","6,428",0,0,"215,165"
2018,3,"224,175","5,625",0,0,"229,800"
2018,4,"51,188","-3,262",0,0,"47,926"
2019,1,"22,512","-5,105",0,0,"17,407"
2019,2,"250,219","6,159",0,0,"256,378"
2019,3,"305,166","6,007",0,0,"311,173"
2019,4,"177,164","4,071",0,0,"181,235"
2020,1,"-193,550","-16,632",0,0,"-210,182"
2020,2,"-253,002","-8,575",0,0,"-261,577"
2020,3,"-479,902","-21,355",0,0,"-501,257"
2020,4,"-389,270","-39,372",0,0,"-428,642"
2021,1,"-172,561","-15,734",0,0,"-188,295"
2021,2,"312,316","16,748",0,0,"329,064"
2021,3,"176,316","2,872",0,0,"179,188"
2021,4,"26,734","-4,060",0,0,"22,674"
2022,1,"-76,411","-13,491",0,0,"-89,902"
2022,2,"144,161",-929,0,0,"143,232"
2022,3,"61,153","-2,958",0,0,"58,195"
2022,4,"62,993","-4,749",0,0,"58,244"
2023,1,"-119,567","-18,672",0,0,"-138,239"
2023,2,"235,681","4,562",0,0,"240,243"
2023,3,"147,690",407,0,0,"148,097"
2023,4,"-52,031","54,428",0,0,"2,397"
2024,1,"-106,330","-35,667",0,0,"-141,997"
2024,2,"234,236","3,554",0,0,"237,790"
2024,3,"314,058","5,169",0,0,"319,227"
