Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,TOTAL
2000,1,"-7,690",0,0,0,"-7,690"
2000,2,"-6,155",0,0,0,"-6,155"
2000,3,"-2,029",0,0,0,"-2,029"
2000,4,37,0,0,0,37
2001,1,"4,507",0,0,0,"4,507"
2001,2,"6,167",0,0,0,"6,167"
2001,3,"10,494",0,0,0,"10,494"
2001,4,"11,055",0,0,0,"11,055"
2002,1,"13,004",0,0,0,"13,004"
2002,2,"14,586",0,0,0,"14,586"
2002,3,"12,154",0,0,0,"12,154"
2002,4,"15,163",0,0,0,"15,163"
2003,1,"17,358",0,0,0,"17,358"
2003,2,"37,957",0,0,0,"37,957"
2003,3,"29,043",0,0,0,"29,043"
2003,4,"19,540",0,0,0,"19,540"
2004,1,"15,193",0,0,0,"15,193"
2004,2,"21,458",0,0,0,"21,458"
2004,3,"8,424",0,0,0,"8,424"
2004,4,"2,393",0,0,0,"2,393"
2005,1,"6,967",0,0,0,"6,967"
2005,2,"12,501",-318,0,0,"12,183"
2005,3,"2,686",0,0,0,"2,686"
2005,4,"-42,428",0,0,0,"-42,428"
2006,1,"-31,555",0,0,0,"-31,555"
2006,2,"13,678",0,0,0,"13,678"
2006,3,-499,0,0,0,-499
2006,4,"17,598",0,0,0,"17,598"
2007,1,"-22,034",0,0,0,"-22,034"
2007,2,"21,154",0,0,0,"21,154"
2007,3,"22,600",0,0,0,"22,600"
2007,4,"-3,351",0,0,0,"-3,351"
2008,1,"-8,053",0,0,0,"-8,053"
2008,2,"-6,437",0,0,0,"-6,437"
2008,3,"-4,320",0,0,0,"-4,320"
2008,4,"-64,171","7,062",0,0,"-57,109"
2009,1,"9,110","2,568",0,0,"11,678"
2009,2,"19,012","1,483",0,0,"20,495"
2009,3,"9,174","5,657",0,0,"14,831"
2009,4,"5,432","6,024",0,0,"11,456"
2010,1,"-13,540","12,142",0,0,"-1,398"
2010,2,"21,889","8,912",0,0,"30,801"
2010,3,"26,981","31,228",0,0,"58,209"
2010,4,"-9,997","19,037",0,0,"9,040"
2011,1,"-19,586","22,950",0,0,"3,364"
2011,2,42,"24,997",0,0,"25,039"
2011,3,"-2,071","36,370",0,0,"34,298"
2011,4,"2,304","21,245",0,0,"23,549"
2012,1,"4,534","25,138",0,0,"29,673"
2012,2,"32,037","20,484",0,0,"52,521"
2012,3,"6,553","37,735",0,0,"44,288"
2012,4,"-11,427","12,230",0,0,803
2013,1,"-12,717","26,558",0,0,"13,840"
2013,2,"4,118","32,234",0,0,"36,352"
2013,3,"58,889","11,872",0,0,"70,761"
2013,4,"12,853","34,161",0,0,"47,014"
2014,1,"-48,157","46,958",0,0,"-1,200"
2014,2,"196,856","33,785",0,0,"230,641"
2014,3,"39,232","39,569",0,0,"78,801"
2014,4,"51,094","36,294",0,0,"87,388"
2015,1,"71,651","65,351",0,0,"137,003"
2015,2,"109,103","42,877",0,0,"151,979"
2015,3,"114,113","83,991",0,0,"198,103"
2015,4,"136,582","53,425",0,0,"190,007"
2016,1,"133,739","65,720",0,0,"199,459"
2016,2,"146,538","33,631",0,0,"180,169"
2016,3,"119,008","79,972",0,0,"198,980"
2016,4,"133,305","46,714",0,0,"180,020"
2017,1,"46,500","38,776",0,0,"85,276"
2017,2,"148,373","62,432",0,0,"210,805"
2017,3,"87,649","91,136",0,0,"178,785"
2017,4,"639,702","32,707",0,0,"672,409"
2018,1,"32,262","56,060",0,0,"88,322"
2018,2,"-114,836","-5,056",0,0,"-119,892"
2018,3,"-23,980","74,450",0,0,"50,470"
2018,4,"138,317","31,008",0,0,"169,324"
2019,1,"30,582","10,992",0,0,"41,574"
2019,2,"161,268","18,216",0,0,"179,484"
2019,3,"122,977","63,538",0,0,"186,516"
2019,4,"139,678","21,715",0,0,"161,393"
2020,1,"-263,849","-4,075",0,0,"-267,924"
2020,2,"-308,803","-11,758",0,0,"-320,561"
2020,3,"-346,143","-46,230",0,0,"-392,373"
2020,4,"-371,116","-2,319",0,0,"-373,435"
2021,1,"-205,981","-40,604",0,0,"-246,585"
2021,2,"31,019","32,431",0,0,"63,450"
2021,3,"65,133","63,842",834,0,"129,809"
2021,4,"-95,590","-33,131",-340,0,"-129,060"
2022,1,"-202,057","-52,657",39,0,"-254,675"
2022,2,"-111,639","-83,218","6,743",0,"-188,114"
2022,3,"-31,344","78,734","9,837",0,"57,227"
2022,4,"-251,882","207,938","67,419",0,"23,475"
2023,1,"-233,931","31,362","11,023",0,"-191,547"
2023,2,"65,301","58,681","13,256",0,"137,237"
2023,3,"-441,254","247,678","41,625",0,"-151,950"
2023,4,"-112,099","3,598","4,433",0,"-104,068"
2024,1,"-539,749","-160,496","-15,617",0,"-715,861"
2024,2,"-4,750",37,"29,591",0,"24,878"
2024,3,"-406,248","276,196","70,578",0,"-59,475"
