Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,TOTAL
2000,1,"73,512",0,0,0,"73,512"
2000,2,"190,623",0,0,0,"190,623"
2000,3,"184,298",0,0,0,"184,298"
2000,4,"154,660",0,0,0,"154,660"
2001,1,"121,045",0,0,0,"121,045"
2001,2,"175,642",0,0,0,"175,642"
2001,3,"150,964",0,0,0,"150,964"
2001,4,"63,505",0,0,0,"63,505"
2002,1,"21,385",0,0,0,"21,385"
2002,2,"102,298",0,0,0,"102,298"
2002,3,"74,887",0,0,0,"74,887"
2002,4,"42,399",0,0,0,"42,399"
2003,1,"23,860",0,0,0,"23,860"
2003,2,"245,901",0,0,0,"245,901"
2003,3,"106,097",0,0,0,"106,097"
2003,4,"65,781",0,0,0,"65,781"
2004,1,"25,808",0,0,0,"25,808"
2004,2,"112,852",0,0,0,"112,852"
2004,3,"119,179",0,0,0,"119,179"
2004,4,"55,530",0,0,0,"55,530"
2005,1,"76,270",0,0,0,"76,270"
2005,2,"158,784",0,0,0,"158,784"
2005,3,"227,271",0,0,0,"227,271"
2005,4,"86,058",0,0,0,"86,058"
2006,1,"61,462",0,0,0,"61,462"
2006,2,"333,003",0,0,0,"333,003"
2006,3,"47,870",0,0,0,"47,870"
2006,4,"56,745",0,0,0,"56,745"
2007,1,"92,745",0,0,0,"92,745"
2007,2,"278,324",0,0,0,"278,324"
2007,3,"162,217",0,0,0,"162,217"
2007,4,"111,388",0,0,0,"111,388"
2008,1,"33,563",0,0,0,"33,563"
2008,2,"320,985",0,0,0,"320,985"
2008,3,"-120,315",0,0,0,"-120,315"
2008,4,"-55,992",0,0,0,"-55,992"
2009,1,"-90,959",0,0,0,"-90,959"
2009,2,"90,720",0,0,0,"90,720"
2009,3,"-16,179",0,0,0,"-16,179"
2009,4,"115,790",0,0,0,"115,790"
2010,1,"10,788",0,0,0,"10,788"
2010,2,"112,214",0,0,0,"112,214"
2010,3,"204,670",0,0,0,"204,670"
2010,4,"131,236",0,0,0,"131,236"
2011,1,"4,854",0,0,0,"4,854"
2011,2,"187,604",0,0,0,"187,604"
2011,3,"-142,708",0,0,0,"-142,708"
2011,4,"150,912",0,0,0,"150,912"
2012,1,"108,599",0,0,0,"108,599"
2012,2,"226,347","1,993",0,0,"228,340"
2012,3,"15,905",159,0,0,"16,064"
2012,4,"77,557",748,0,0,"78,305"
2013,1,"57,808",720,0,0,"58,528"
2013,2,"221,280","2,745",0,0,"224,025"
2013,3,"256,203","3,219",0,0,"259,422"
2013,4,"210,177","2,317",0,0,"212,494"
2014,1,"150,261","2,180",0,0,"152,441"
2014,2,"459,043","5,951",0,0,"464,994"
2014,3,"325,359","3,450",0,0,"328,809"
2014,4,"188,117","2,140",0,0,"190,257"
2015,1,"446,819","6,117",0,0,"452,936"
2015,2,"599,060","8,970",0,0,"608,030"
2015,3,"576,609","7,745",0,0,"584,354"
2015,4,"527,179","8,779",0,0,"535,958"
2016,1,"501,366","9,972",0,0,"511,338"
2016,2,"804,234","15,829",0,0,"820,063"
2016,3,"381,219","7,027",0,0,"388,246"
2016,4,"512,887","9,453",0,0,"522,340"
2017,1,"344,047","7,417",0,0,"351,464"
2017,2,"727,976","18,056",0,0,"746,032"
2017,3,"490,293","12,312",0,0,"502,605"
2017,4,"1,846,065","42,299",0,0,"1,888,364"
2018,1,"450,336","12,260",0,0,"462,596"
2018,2,"713,303","19,420",0,0,"732,723"
2018,3,"600,011","15,449",0,0,"615,460"
2018,4,"637,828","16,360",0,0,"654,188"
2019,1,"374,997","12,117",0,0,"387,114"
2019,2,"719,207","21,329",0,0,"740,536"
2019,3,"643,259","15,616",0,0,"658,875"
2019,4,"500,392","13,407",0,0,"513,799"
2020,1,"-91,603","-2,708",0,0,"-94,311"
2020,2,"-914,578",-363,0,0,"-914,941"
2020,3,"-1,143,876","-12,777",0,0,"-1,156,653"
2020,4,"-889,324","-19,086",0,0,"-908,410"
2021,1,"112,868","2,745",0,0,"115,613"
2021,2,"336,752","10,986",0,0,"347,738"
2021,3,"431,315","14,558",0,0,"445,873"
2021,4,"65,747","1,964",0,0,"67,711"
2022,1,"-268,473","-9,376",0,0,"-277,849"
2022,2,"733,498","26,634",0,0,"760,132"
2022,3,"267,029","10,034",0,0,"277,063"
2022,4,"-213,347","-6,845",0,0,"-220,192"
2023,1,"-153,850","-5,624",0,0,"-159,474"
2023,2,"657,189","26,073",0,0,"683,262"
2023,3,"187,179","5,898",0,0,"193,077"
2023,4,"-246,235","-5,876",0,0,"-252,111"
2024,1,"-223,225","-7,491",0,0,"-230,716"
2024,2,"355,477","11,779",0,0,"367,256"
2024,3,"65,614","1,818",0,0,"67,432"
