Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,TOTAL
2000,1,534,0,0,0,534
2000,2,"1,497",0,0,0,"1,497"
2000,3,"-5,779",0,0,0,"-5,779"
2000,4,"-2,946",0,0,0,"-2,946"
2001,1,"4,566",0,0,0,"4,566"
2001,2,"6,009",0,0,0,"6,009"
2001,3,-189,0,0,0,-189
2001,4,"-7,548",0,0,0,"-7,548"
2002,1,"1,926",0,0,0,"1,926"
2002,2,"-1,870",0,0,0,"-1,870"
2002,3,"-7,883",0,0,0,"-7,883"
2002,4,"-11,596",0,0,0,"-11,596"
2003,1,592,0,0,0,592
2003,2,"20,507",0,0,0,"20,507"
2003,3,417,0,0,0,417
2003,4,"-20,890",0,0,0,"-20,890"
2004,1,"1,126",0,0,0,"1,126"
2004,2,"-3,694",0,0,0,"-3,694"
2004,3,"-15,399",0,0,0,"-15,399"
2004,4,"-75,267",0,0,0,"-75,267"
2005,1,"-5,420",0,0,0,"-5,420"
2005,2,"-10,809",0,0,0,"-10,809"
2005,3,"-16,878","-1,481",0,0,"-18,359"
2005,4,"-24,963","-2,549",0,0,"-27,513"
2006,1,"-11,646","-2,247",0,0,"-13,893"
2006,2,"-10,386","-1,871",0,0,"-12,257"
2006,3,"-13,879","-2,020",0,0,"-15,899"
2006,4,"-35,202","-1,772",0,0,"-36,974"
2007,1,"9,148","2,022",0,0,"11,170"
2007,2,967,283,0,0,"1,250"
2007,3,"1,648",576,0,0,"2,224"
2007,4,"-11,291","-3,148",0,0,"-14,439"
2008,1,"43,679","11,693",0,0,"55,372"
2008,2,"14,112","4,344",0,0,"18,456"
2008,3,"-38,019","-11,093",0,0,"-49,112"
2008,4,"8,747","2,133",0,0,"10,880"
2009,1,"14,986","3,724",0,0,"18,710"
2009,2,"17,809","5,009",0,0,"22,818"
2009,3,"11,154","3,127",0,0,"14,281"
2009,4,"22,976","4,908",0,0,"27,884"
2010,1,"9,078","2,199",0,0,"11,277"
2010,2,"-47,746","-11,566",0,0,"-59,312"
2010,3,"50,389","13,555",0,0,"63,944"
2010,4,"7,662","1,868",0,0,"9,530"
2011,1,"6,377",0,0,0,"6,377"
2011,2,"14,099",0,0,0,"14,099"
2011,3,"22,873",0,0,0,"22,873"
2011,4,"20,608","3,383",0,0,"23,991"
2012,1,"20,004",0,0,0,"20,004"
2012,2,"29,782",0,0,0,"29,782"
2012,3,"26,359",0,0,0,"26,359"
2012,4,"17,159","2,407",0,0,"19,566"
2013,1,"26,796",0,0,0,"26,796"
2013,2,"36,929","5,036",0,0,"41,965"
2013,3,"54,381",0,0,0,"54,381"
2013,4,"38,874","4,319",0,0,"43,193"
2014,1,"33,672","4,035",0,0,"37,706"
2014,2,"57,326","7,522",0,0,"64,849"
2014,3,"59,893","7,101",0,0,"66,994"
2014,4,"52,599","5,202",0,0,"57,802"
2015,1,"62,447","6,555",0,0,"69,002"
2015,2,"69,264","7,440",0,0,"76,704"
2015,3,"92,643","10,179",0,0,"102,823"
2015,4,"72,242","6,539",0,0,"78,781"
2016,1,"56,656","5,263",0,0,"61,920"
2016,2,"66,287","6,797",0,0,"73,084"
2016,3,"74,628","6,755",0,0,"81,382"
2016,4,"45,486","3,007",0,0,"48,493"
2017,1,"29,444","2,491",0,0,"31,935"
2017,2,"85,996","8,213",0,0,"94,209"
2017,3,"55,736","4,454",0,0,"60,190"
2017,4,"75,860","5,886",0,0,"81,746"
2018,1,"-41,328","-3,594",0,0,"-44,922"
2018,2,"10,152","1,103",0,0,"11,254"
2018,3,"88,317","9,163",0,0,"97,480"
2018,4,"81,731","10,205",0,0,"91,936"
2019,1,"49,347","6,729",0,0,"56,076"
2019,2,"100,655","13,855",0,0,"114,510"
2019,3,"74,116","9,348",0,0,"83,464"
2019,4,"72,768","8,446",0,0,"81,214"
2020,1,"-25,185","-2,644",0,0,"-27,828"
2020,2,"-140,095","-4,333",0,0,"-144,428"
2020,3,"-94,381","-4,759",0,0,"-99,140"
2020,4,"-140,001","-17,304",0,0,"-157,305"
2021,1,"-99,517","-12,805",0,0,"-112,321"
2021,2,"-258,213","-29,650",0,0,"-287,863"
2021,3,"12,839","1,935",0,0,"14,774"
2021,4,"-74,259","-12,899",0,0,"-87,158"
2022,1,"-166,471","-28,232",0,0,"-194,703"
2022,2,"-44,702","-7,704",0,0,"-52,406"
2022,3,"-31,502","-4,874",0,0,"-36,377"
2022,4,"-236,831","-33,833",0,0,"-270,664"
2023,1,"-90,507","-13,405",0,0,"-103,911"
2023,2,"-2,042",-308,0,0,"-2,349"
2023,3,"-136,597","-20,954",0,0,"-157,551"
2023,4,"-161,797","-21,855",0,0,"-183,652"
2024,1,"-123,379","-19,256",0,0,"-142,635"
2024,2,"-171,898","-21,029",0,0,"-192,927"
2024,3,"-280,407","-29,093",0,0,"-309,500"
