Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,TOTAL
2000,1,"-48,257","2,294","-16,693","-18,434","-81,090"
2000,2,"268,331","6,761","41,399","14,349","330,840"
2000,3,"-124,854","-9,793","20,594","2,910","-111,143"
2000,4,"-105,272","-1,243","5,249","14,283","-86,983"
2001,1,"-196,074","-7,193","-44,843","-73,288","-321,398"
2001,2,"-156,296","-17,601","-42,196","-77,623","-293,716"
2001,3,"-746,158","-54,030","-176,379","-202,653","-1,179,220"
2001,4,"-180,248","-23,117","-46,044","-66,466","-315,875"
2002,1,"-307,046","-30,405","-70,957","-87,494","-495,902"
2002,2,"-240,534","-24,367","-29,236","-69,115","-363,252"
2002,3,"-630,804","-49,882","-76,135","-154,498","-911,319"
2002,4,"-989,668","-88,081","-222,322","-255,237","-1,555,308"
2003,1,"-921,885","-61,404","-170,325","-232,373","-1,385,987"
2003,2,"-383,024","-33,328","-63,673","-174,664","-654,689"
2003,3,"-259,856","-22,185","-38,120","-95,480","-415,641"
2003,4,"-411,780","-15,147","-106,980","-96,002","-629,909"
2004,1,"-435,518","-12,140","-48,667","-46,422","-542,747"
2004,2,"-274,591","-11,375",554,"-17,249","-302,661"
2004,3,"-322,545","-7,492",-261,"-7,344","-337,642"
2004,4,"-666,408","-12,978","-66,880","-72,831","-819,097"
2005,1,"-647,427","-47,763","-135,336","-181,876","-1,012,402"
2005,2,"-911,943","-61,283","-172,394","-324,480","-1,470,100"
2005,3,"-1,016,756","-58,111","-208,813","-357,653","-1,641,333"
2005,4,"-10,256,486","-733,659","-2,148,973","-3,773,431","-16,912,549"
2006,1,"13,336,718","1,113,229","2,894,756","5,065,921","22,410,624"
2006,2,"117,950","-10,014","32,320","-29,512","110,744"
2006,3,"119,281","-1,191","46,781","30,790","195,661"
2006,4,"-68,171","-11,720","8,043","13,003","-58,845"
2007,1,"-165,640","-5,471","15,899","4,399","-150,813"
2007,2,"123,464","2,821","93,195","67,470","286,950"
2007,3,"142,235","3,617","81,458","85,145","312,455"
2007,4,"-140,699",-583,"22,291","18,901","-100,090"
2008,1,"-425,421","-19,219","-35,005","-56,656","-536,301"
2008,2,"-329,136","-74,290","-434,873","-565,584","-1,403,883"
2008,3,"-470,419","-5,193","-258,760","-5,350","-739,722"
2008,4,"-641,522","-52,657","-215,383","-237,685","-1,147,247"
2009,1,"-258,969","-22,782","-35,085","-63,610","-380,446"
2009,2,"48,008","-24,296","58,881","-51,811","30,782"
2009,3,"4,519","-16,965","10,296","-52,192","-54,342"
2009,4,"-222,766","-9,195","36,274","-28,426","-224,113"
2010,1,"-121,161","-9,430","20,959","35,534","-74,098"
2010,2,"108,168",-991,"75,769","97,844","280,790"
2010,3,"162,762","10,033","95,049","134,687","402,531"
2010,4,"-195,497","-18,658","3,781","2,749","-207,625"
2011,1,"-160,182","-15,112","-12,822","28,406","-159,711"
2011,2,"113,364","3,019","99,299","66,202","281,883"
2011,3,"124,946","21,906","160,564","107,065","414,480"
2011,4,"-306,250","11,419","41,595","-1,335","-254,571"
2012,1,"-330,238","-8,716","-159,700","67,557","-431,097"
2012,2,"122,354","13,527","155,158","78,521","369,559"
2012,3,"-294,107","46,146","50,005","172,851","-25,106"
2012,4,"-415,860","7,130","-101,262","-64,344","-574,336"
2013,1,"-256,979","-5,282","-63,377","-35,888","-361,526"
2013,2,"272,035","-31,311","231,273","12,020","484,017"
2013,3,"78,899","40,055","194,954","63,475","377,383"
2013,4,"40,707","73,859","41,562","-1,950","154,178"
2014,1,"-429,149","-32,197","-58,713","-59,929","-579,988"
2014,2,"392,162","60,023","308,136","8,910","769,231"
2014,3,"391,956","57,193","324,429","159,657","933,236"
2014,4,"14,062","41,601","47,836","-112,162","-8,662"
2015,1,"230,312","78,487","167,767","32,731","509,296"
2015,2,"714,062","30,269","374,648","74,003","1,192,981"
2015,3,"2,446,203","360,787","1,216,105","752,410","4,775,505"
2015,4,"511,127","2,609","291,338","18,531","823,605"
2016,1,"324,666","-1,502","43,331","-52,632","313,862"
2016,2,"508,458","-17,656","117,819","-20,499","588,122"
2016,3,"620,424","48,357","191,732","104,498","965,010"
2016,4,"307,718","23,927","91,703","-26,412","396,936"
2017,1,"167,432","-16,712","35,715","-89,690","96,745"
2017,2,"779,860",-832,"160,465","-121,313","818,180"
2017,3,"438,216","53,232","132,099","13,964","637,510"
2017,4,"475,349","13,483","160,892","-52,871","596,853"
2018,1,"127,138","-16,774","110,834","-74,099","147,098"
2018,2,"522,788","-43,025","240,469","-36,098","684,133"
2018,3,"504,608","23,346","234,542","73,865","836,361"
2018,4,"378,871","3,936","129,963","-49,282","463,487"
2019,1,"178,701","29,620","111,328","-26,890","292,760"
2019,2,"668,960","55,209","313,158","14,612","1,051,939"
2019,3,"706,791","77,416","241,223","-1,471","1,023,959"
2019,4,"501,834","72,646","138,189","-70,317","642,351"
2020,1,"-965,139","-177,239","-248,943","-312,716","-1,704,038"
2020,2,"-1,100,396","-76,997","-93,636","-354,867","-1,625,896"
2020,3,"-1,281,720","-120,359","-220,080","-218,858","-1,841,017"
2020,4,"-1,230,614","-224,590","-284,814","-156,448","-1,896,466"
2021,1,"-924,151","-200,488","-92,668","-139,421","-1,356,728"
2021,2,"-143,507","-117,682","-59,301","-113,336","-433,825"
2021,3,"360,401","14,342","51,376","47,138","473,256"
2021,4,"-446,829","-109,831","-64,695","-23,828","-645,183"
2022,1,"-926,652","-197,645","-192,348","-60,523","-1,377,168"
2022,2,"374,833","-42,625","-48,356","46,088","329,940"
2022,3,"487,210","80,476","257,212","117,154","942,051"
2022,4,"529,706","135,186","59,818","119,647","844,356"
2023,1,"-258,802","135,770","-138,721","67,685","-194,067"
2023,2,"579,590","74,779","304,966","116,214","1,075,548"
2023,3,"449,496","70,285","414,970","203,072","1,137,822"
2023,4,"561,865","65,713","1,176","-27,400","601,355"
2024,1,"13,817","21,483","-88,488","-70,631","-123,820"
2024,2,"732,631","42,965","400,102","148,289","1,323,987"
2024,3,"510,888","42,759","324,088","86,850","964,585"
