Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,TOTAL
2000,1,"92,507",0,0,0,"92,507"
2000,2,"112,809",0,0,0,"112,809"
2000,3,"131,083",0,0,0,"131,083"
2000,4,"114,212",0,0,0,"114,212"
2001,1,"114,773",0,0,0,"114,773"
2001,2,"123,316",0,0,0,"123,316"
2001,3,"116,006",0,0,0,"116,006"
2001,4,"92,557",0,0,0,"92,557"
2002,1,"113,195",0,0,0,"113,195"
2002,2,"111,812",0,0,0,"111,812"
2002,3,"119,355",0,0,0,"119,355"
2002,4,"120,253",0,0,0,"120,253"
2003,1,"118,516",0,0,0,"118,516"
2003,2,"142,366",0,0,0,"142,366"
2003,3,"165,821",0,0,0,"165,821"
2003,4,"163,360",0,0,0,"163,360"
2004,1,"172,132",0,0,0,"172,132"
2004,2,"192,423",0,0,0,"192,423"
2004,3,"214,435",0,0,0,"214,435"
2004,4,"208,237",0,0,0,"208,237"
2005,1,"218,544",0,0,0,"218,544"
2005,2,"221,712","14,698",0,0,"236,410"
2005,3,"251,360","7,063",0,0,"258,423"
2005,4,"234,384","12,578",0,0,"246,963"
2006,1,"229,883","22,593",0,0,"252,477"
2006,2,"281,894","20,169",0,0,"302,063"
2006,3,"301,463","9,261",0,0,"310,724"
2006,4,"247,754","18,688",0,0,"266,441"
2007,1,"248,748","33,670",0,0,"282,418"
2007,2,"314,318","30,452",0,0,"344,771"
2007,3,"358,422","14,843",0,0,"373,266"
2007,4,"304,379","29,530",0,0,"333,909"
2008,1,"306,220","41,115",0,0,"347,335"
2008,2,"332,331","28,156",0,0,"360,487"
2008,3,"356,818","7,177",0,0,"363,995"
2008,4,"280,504","18,579",0,0,"299,083"
2009,1,"235,606","28,313",0,0,"263,919"
2009,2,"262,314","13,294",0,0,"275,609"
2009,3,"295,002","6,430",0,0,"301,432"
2009,4,"257,733","14,704",0,0,"272,437"
2010,1,"243,675","26,120",0,0,"269,795"
2010,2,"300,689","15,511",0,0,"316,200"
2010,3,"338,797","7,306",0,0,"346,103"
2010,4,"369,132","15,719",0,0,"384,851"
2011,1,"356,985","30,070",0,0,"387,055"
2011,2,"432,477","21,912",0,0,"454,390"
2011,3,"471,683","10,284",0,0,"481,967"
2011,4,"331,279","7,223",0,0,"338,502"
2012,1,"315,239","27,093",0,0,"342,332"
2012,2,"354,943","15,771",0,0,"370,715"
2012,3,"367,720","8,059",0,0,"375,779"
2012,4,"327,337","17,303",0,0,"344,640"
2013,1,"253,698","57,168",0,0,"310,866"
2013,2,"288,867","38,805",0,0,"327,672"
2013,3,"340,246","32,185",0,0,"372,432"
2013,4,"302,994","34,588",0,0,"337,582"
2014,1,"261,721","66,698",0,0,"328,419"
2014,2,"355,843","37,096",0,0,"392,939"
2014,3,"422,099","26,275",0,0,"448,374"
2014,4,"380,548","24,589",0,0,"405,137"
2015,1,"320,052","49,369",0,0,"369,422"
2015,2,"380,911","32,014",0,0,"412,924"
2015,3,"395,747","21,788",0,0,"417,534"
2015,4,"383,193","20,939",0,0,"404,132"
2016,1,"349,148","18,977",0,0,"368,125"
2016,2,"404,680","15,671",0,0,"420,351"
2016,3,"477,844","12,782",0,0,"490,626"
2016,4,"417,805","16,670",0,0,"434,475"
2017,1,"407,740","22,188",0,0,"429,929"
2017,2,"487,820","18,759",0,0,"506,579"
2017,3,"462,367","24,580",0,0,"486,947"
2017,4,"460,877","30,410",0,0,"491,286"
2018,1,"464,436","36,938",0,0,"501,374"
2018,2,"525,510","30,506",0,0,"556,016"
2018,3,"521,943","22,808",0,0,"544,751"
2018,4,"530,601","23,116",0,0,"553,717"
2019,1,"500,739","45,844",0,0,"546,583"
2019,2,"593,451","44,213",0,0,"637,664"
2019,3,"639,589","28,928",0,0,"668,517"
2019,4,"627,774","27,811",0,0,"655,586"
2020,1,"499,978","43,940",0,0,"543,918"
2020,2,"194,221",40,0,0,"194,261"
2020,3,"243,563","1,535",0,0,"245,098"
2020,4,"260,930","5,799",0,0,"266,729"
2021,1,"258,758","12,438",0,0,"271,196"
2021,2,"521,786","27,568",0,0,"549,354"
2021,3,"595,139","34,965",0,0,"630,104"
2021,4,"574,114","35,505",0,0,"609,619"
2022,1,"546,505","58,643",0,0,"605,147"
2022,2,"818,748","89,783",0,0,"908,531"
2022,3,"832,089","74,374",0,0,"906,463"
2022,4,"853,856","52,031",0,0,"905,887"
2023,1,"780,708","67,641",0,0,"848,350"
2023,2,"876,762","89,646",0,0,"966,408"
2023,3,"817,837","65,109",0,0,"882,946"
2023,4,"839,170","52,085",0,0,"891,256"
2024,1,"801,935","63,435",0,0,"865,369"
2024,2,"903,913","68,278",0,0,"972,191"
2024,3,"890,402","44,483",0,0,"934,885"
