Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,TOTAL
2000,1,"6,469",0,0,0,"6,469"
2000,2,"16,192",0,0,0,"16,192"
2000,3,"33,434",0,0,0,"33,434"
2000,4,"49,153",0,0,0,"49,153"
2001,1,"63,850",0,0,0,"63,850"
2001,2,"78,398",0,0,0,"78,398"
2001,3,"82,608",0,0,0,"82,608"
2001,4,"95,558",0,0,0,"95,558"
2002,1,"133,369",0,0,0,"133,369"
2002,2,"149,303",0,0,0,"149,303"
2002,3,"165,260",0,0,0,"165,260"
2002,4,"187,258",0,0,0,"187,258"
2003,1,"217,130",0,0,0,"217,130"
2003,2,"244,701",0,0,0,"244,701"
2003,3,"273,576",0,0,0,"273,576"
2003,4,"262,944",0,0,0,"262,944"
2004,1,"289,003",0,0,0,"289,003"
2004,2,"319,719",0,0,0,"319,719"
2004,3,"323,215",0,0,0,"323,215"
2004,4,"334,035",0,0,0,"334,035"
2005,1,"374,222",0,0,0,"374,222"
2005,2,"424,512","5,539",0,0,"430,052"
2005,3,"452,915",0,0,0,"452,915"
2005,4,"445,992",0,0,0,"445,992"
2006,1,"490,528",0,0,0,"490,528"
2006,2,"611,008",0,0,0,"611,008"
2006,3,"628,113",0,0,0,"628,113"
2006,4,"633,609",0,0,0,"633,609"
2007,1,"608,180",0,0,0,"608,180"
2007,2,"729,876",0,0,0,"729,876"
2007,3,"766,194",0,0,0,"766,194"
2007,4,"738,905",0,0,0,"738,905"
2008,1,"816,297",0,0,0,"816,297"
2008,2,"859,065",0,0,0,"859,065"
2008,3,"903,670",0,0,0,"903,670"
2008,4,"769,060","42,090",0,0,"811,150"
2009,1,"741,130","51,760",0,0,"792,890"
2009,2,"757,537","49,624",0,0,"807,162"
2009,3,"793,395","62,135",0,0,"855,531"
2009,4,"727,071","104,759",0,0,"831,830"
2010,1,"738,421","131,198",0,0,"869,619"
2010,2,"806,579","133,609",0,0,"940,188"
2010,3,"846,146","185,554",0,0,"1,031,700"
2010,4,"799,486","139,824",0,0,"939,309"
2011,1,"841,819","171,035",0,0,"1,012,854"
2011,2,"964,881","187,699",0,0,"1,152,580"
2011,3,"975,012","221,472",0,0,"1,196,484"
2011,4,"959,984","186,997",0,0,"1,146,981"
2012,1,"996,094","207,376",0,0,"1,203,470"
2012,2,"1,074,802","202,526",0,0,"1,277,328"
2012,3,"1,058,632","248,547",0,0,"1,307,179"
2012,4,"1,005,150","188,887",0,0,"1,194,037"
2013,1,"1,061,961","236,981",0,0,"1,298,942"
2013,2,"1,095,722","238,728",0,0,"1,334,450"
2013,3,"1,152,621","289,995",0,0,"1,442,616"
2013,4,"1,119,060","246,761",0,0,"1,365,820"
2014,1,"1,067,298","281,489",0,0,"1,348,787"
2014,2,"1,213,526","280,178",0,0,"1,493,704"
2014,3,"1,205,520","322,799",0,0,"1,528,320"
2014,4,"1,171,440","274,627",0,0,"1,446,067"
2015,1,"1,205,171","318,485",0,0,"1,523,656"
2015,2,"1,315,249","296,103",0,0,"1,611,352"
2015,3,"1,310,640","376,983",0,0,"1,687,623"
2015,4,"1,292,621","300,874",0,0,"1,593,496"
2016,1,"1,291,656","324,705",0,0,"1,616,361"
2016,2,"1,356,067","287,342",0,0,"1,643,409"
2016,3,"1,348,456","383,257",0,0,"1,731,713"
2016,4,"1,333,830","307,120",0,0,"1,640,949"
2017,1,"1,292,562","311,296",0,0,"1,603,858"
2017,2,"1,488,226","354,272",0,0,"1,842,498"
2017,3,"1,365,933","446,796",0,0,"1,812,728"
2017,4,"1,397,926","358,315",0,0,"1,756,242"
2018,1,"1,359,400","394,364",0,0,"1,753,764"
2018,2,"1,532,367","395,655",0,0,"1,928,022"
2018,3,"1,492,647","515,296",0,0,"2,007,943"
2018,4,"1,569,075","399,647",0,0,"1,968,722"
2019,1,"1,459,293","411,987",0,0,"1,871,279"
2019,2,"1,666,414","439,010",0,0,"2,105,423"
2019,3,"1,569,641","516,540",0,0,"2,086,180"
2019,4,"1,634,690","396,435",0,0,"2,031,125"
2020,1,"1,237,984","350,471",0,0,"1,588,455"
2020,2,"202,232","12,613",0,0,"214,845"
2020,3,"304,772","187,167",0,0,"491,939"
2020,4,"420,660","240,663",0,0,"661,323"
2021,1,"516,832","215,678",0,0,"732,511"
2021,2,"1,123,599","375,401",0,0,"1,499,000"
2021,3,"1,403,405","563,616","4,709",0,"1,971,729"
2021,4,"1,390,095","427,435","16,582",0,"1,834,112"
2022,1,"1,295,426","422,048","18,576",0,"1,736,049"
2022,2,"1,883,782","537,034","23,952",0,"2,444,768"
2022,3,"1,806,860","711,970","43,493",0,"2,562,323"
2022,4,"1,815,626","538,629","60,789",0,"2,415,043"
2023,1,"1,688,688","576,784","62,101",0,"2,327,573"
2023,2,"1,929,595","613,351","66,766",0,"2,609,713"
2023,3,"1,563,516","694,047","95,361",0,"2,352,924"
2023,4,"1,679,150","566,322","79,760",0,"2,325,233"
2024,1,"1,558,333","563,149","87,202",0,"2,208,685"
2024,2,"1,693,553","587,601","147,279",0,"2,428,433"
2024,3,"1,501,304","694,773","169,072",0,"2,365,149"
