Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,TOTAL
2000,1,"1,242,662",0,0,0,"1,242,662"
2000,2,"1,460,691",0,0,0,"1,460,691"
2000,3,"1,478,848",0,0,0,"1,478,848"
2000,4,"1,467,420",0,0,0,"1,467,420"
2001,1,"1,428,632",0,0,0,"1,428,632"
2001,2,"1,553,800",0,0,0,"1,553,800"
2001,3,"1,335,140",0,0,0,"1,335,140"
2001,4,"1,237,663",0,0,0,"1,237,663"
2002,1,"1,257,258",0,0,0,"1,257,258"
2002,2,"1,472,812",0,0,0,"1,472,812"
2002,3,"1,391,206",0,0,0,"1,391,206"
2002,4,"1,400,553",0,0,0,"1,400,553"
2003,1,"1,351,261",0,0,0,"1,351,261"
2003,2,"1,515,087",0,0,0,"1,515,087"
2003,3,"1,553,404",0,0,0,"1,553,404"
2003,4,"1,516,944",0,0,0,"1,516,944"
2004,1,"1,483,986",0,0,0,"1,483,986"
2004,2,"1,716,248",0,0,0,"1,716,248"
2004,3,"1,674,419",0,0,0,"1,674,419"
2004,4,"1,654,967",0,0,0,"1,654,967"
2005,1,"1,663,506",0,0,0,"1,663,506"
2005,2,"1,944,489",0,0,0,"1,944,489"
2005,3,"1,988,625",0,0,0,"1,988,625"
2005,4,"1,987,217",0,0,0,"1,987,217"
2006,1,"2,019,452",0,0,0,"2,019,452"
2006,2,"2,449,027",0,0,0,"2,449,027"
2006,3,"2,342,058",0,0,0,"2,342,058"
2006,4,"2,275,762",0,0,0,"2,275,762"
2007,1,"2,197,557",0,0,0,"2,197,557"
2007,2,"2,583,169",0,0,0,"2,583,169"
2007,3,"2,588,018",0,0,0,"2,588,018"
2007,4,"2,492,039",0,0,0,"2,492,039"
2008,1,"2,529,602",0,0,0,"2,529,602"
2008,2,"2,869,160",0,0,0,"2,869,160"
2008,3,"2,890,517",0,0,0,"2,890,517"
2008,4,"2,733,964",0,0,0,"2,733,964"
2009,1,"2,356,573",0,0,0,"2,356,573"
2009,2,"2,615,964",0,0,0,"2,615,964"
2009,3,"2,665,584",0,0,0,"2,665,584"
2009,4,"2,712,217",0,0,0,"2,712,217"
2010,1,"2,630,038",0,0,0,"2,630,038"
2010,2,"3,168,317",0,0,0,"3,168,317"
2010,3,"3,191,758",0,0,0,"3,191,758"
2010,4,"3,113,597",0,0,0,"3,113,597"
2011,1,"3,102,893",0,0,0,"3,102,893"
2011,2,"3,595,869",0,0,0,"3,595,869"
2011,3,"3,552,684",0,0,0,"3,552,684"
2011,4,"3,403,195",0,0,0,"3,403,195"
2012,1,"3,313,519",0,0,0,"3,313,519"
2012,2,"4,575,617","40,273",0,0,"4,615,890"
2012,3,"4,266,181","42,274",0,0,"4,308,455"
2012,4,"4,132,821","39,911",0,0,"4,172,732"
2013,1,"4,033,817","50,269",0,0,"4,084,086"
2013,2,"4,585,613","56,892",0,0,"4,642,505"
2013,3,"4,488,303","56,388",0,0,"4,544,691"
2013,4,"4,379,886","48,266",0,0,"4,428,152"
2014,1,"4,106,528","59,575",0,0,"4,166,103"
2014,2,"4,947,281","64,147",0,0,"5,011,428"
2014,3,"4,749,648","50,293",0,0,"4,799,941"
2014,4,"4,575,579","52,065",0,0,"4,627,644"
2015,1,"4,354,664","59,591",0,0,"4,414,255"
2015,2,"5,035,222","75,391",0,0,"5,110,613"
2015,3,"5,247,439","70,485",0,0,"5,317,924"
2015,4,"4,895,785","81,533",0,0,"4,977,318"
2016,1,"4,732,207","94,112",0,0,"4,826,319"
2016,2,"5,280,237","103,913",0,0,"5,384,150"
2016,3,"5,046,054","93,017",0,0,"5,139,071"
2016,4,"4,983,801","91,869",0,0,"5,075,670"
2017,1,"4,779,641","103,023",0,0,"4,882,664"
2017,2,"5,604,934","139,004",0,0,"5,743,938"
2017,3,"5,141,535","129,131",0,0,"5,270,666"
2017,4,"5,155,268","118,124",0,0,"5,273,392"
2018,1,"4,812,708","131,008",0,0,"4,943,716"
2018,2,"5,590,258","152,176",0,0,"5,742,434"
2018,3,"5,434,948","139,929",0,0,"5,574,877"
2018,4,"5,561,421","142,601",0,0,"5,704,022"
2019,1,"4,988,013","161,170",0,0,"5,149,183"
2019,2,"5,739,274","170,194",0,0,"5,909,468"
2019,3,"5,506,157","133,663",0,0,"5,639,820"
2019,4,"5,579,748","149,534",0,0,"5,729,282"
2020,1,"4,112,420","121,514",0,0,"4,233,934"
2020,2,"1,007,273",403,0,0,"1,007,676"
2020,3,"1,773,269","19,806",0,0,"1,793,075"
2020,4,"1,971,082","42,294",0,0,"2,013,376"
2021,1,"2,002,938","48,686",0,0,"2,051,624"
2021,2,"3,881,342","126,602",0,0,"4,007,944"
2021,3,"4,526,607","152,776",0,0,"4,679,383"
2021,4,"4,904,936","146,444",0,0,"5,051,380"
2022,1,"4,535,418","158,347",0,0,"4,693,765"
2022,2,"6,492,613","235,727",0,0,"6,728,340"
2022,3,"5,994,786","225,322",0,0,"6,220,108"
2022,4,"5,980,342","191,844",0,0,"6,172,186"
2023,1,"5,504,766","201,257",0,0,"5,706,023"
2023,2,"6,768,542","268,537",0,0,"7,037,079"
2023,3,"6,325,725","199,261",0,0,"6,524,986"
2023,4,"6,663,456","158,998",0,0,"6,822,454"
2024,1,"6,123,075","205,505",0,0,"6,328,580"
2024,2,"7,118,282","235,905",0,0,"7,354,187"
2024,3,"6,685,060","185,060",0,0,"6,870,120"
