Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,TOTAL
2000,1,"81,549",0,0,0,"81,549"
2000,2,"76,473",0,0,0,"76,473"
2000,3,"68,793",0,0,0,"68,793"
2000,4,"85,422",0,0,0,"85,422"
2001,1,"99,031",0,0,0,"99,031"
2001,2,"103,296",0,0,0,"103,296"
2001,3,"98,695",0,0,0,"98,695"
2001,4,"74,171",0,0,0,"74,171"
2002,1,"93,157",0,0,0,"93,157"
2002,2,"99,129",0,0,0,"99,129"
2002,3,"103,409",0,0,0,"103,409"
2002,4,"108,649",0,0,0,"108,649"
2003,1,"118,053",0,0,0,"118,053"
2003,2,"109,687",0,0,0,"109,687"
2003,3,"109,626",0,0,0,"109,626"
2003,4,"112,701",0,0,0,"112,701"
2004,1,"131,068",0,0,0,"131,068"
2004,2,"126,025",0,0,0,"126,025"
2004,3,"113,871",0,0,0,"113,871"
2004,4,"112,302",0,0,0,"112,302"
2005,1,"136,960",0,0,0,"136,960"
2005,2,"130,076",0,0,0,"130,076"
2005,3,"104,932","9,211",0,0,"114,142"
2005,4,"93,701","9,569",0,0,"103,270"
2006,1,"114,833","22,152",0,0,"136,985"
2006,2,"121,849","21,949",0,0,"143,797"
2006,3,"111,672","16,254",0,0,"127,926"
2006,4,"125,281","6,305",0,0,"131,586"
2007,1,"141,676","31,311",0,0,"172,986"
2007,2,"152,650","44,318",0,0,"196,968"
2007,3,"151,887","53,089",0,0,"204,976"
2007,4,"146,723","40,902",0,0,"187,626"
2008,1,"160,982","43,097",0,0,"204,079"
2008,2,"156,938","48,278",0,0,"205,216"
2008,3,"157,330","45,907",0,0,"203,237"
2008,4,"141,712","34,593",0,0,"176,305"
2009,1,"136,193","33,836",0,0,"170,029"
2009,2,"141,078","39,329",0,0,"180,407"
2009,3,"139,493","39,115",0,0,"178,608"
2009,4,"140,899","30,095",0,0,"170,994"
2010,1,"148,162","35,889",0,0,"184,051"
2010,2,"139,583","33,812",0,0,"173,395"
2010,3,"161,745","43,514",0,0,"205,259"
2010,4,"173,825","42,375",0,0,"216,200"
2011,1,"188,224","44,438",0,0,"232,662"
2011,2,"230,083","45,807",0,0,"275,891"
2011,3,"238,766","49,947",0,0,"288,714"
2011,4,"235,297","38,623",0,0,"273,920"
2012,1,"257,477","44,018",0,0,"301,495"
2012,2,"298,171","48,137",0,0,"346,308"
2012,3,"292,167","50,149",0,0,"342,317"
2012,4,"287,891","40,377",0,0,"328,268"
2013,1,"324,873","45,564",0,0,"370,437"
2013,2,"358,458","48,881",0,0,"407,339"
2013,3,"406,396","50,229",0,0,"456,625"
2013,4,"377,985","41,998",0,0,"419,984"
2014,1,"391,123","46,865",0,0,"437,987"
2014,2,"441,414","57,923",0,0,"499,337"
2014,3,"464,674","55,096",0,0,"519,769"
2014,4,"431,783","42,704",0,0,"474,487"
2015,1,"446,486","46,869",0,0,"493,355"
2015,2,"499,740","53,682",0,0,"553,421"
2015,3,"517,932","56,909",0,0,"574,841"
2015,4,"476,698","43,147",0,0,"519,846"
2016,1,"492,401","45,742",0,0,"538,143"
2016,2,"529,809","54,324",0,0,"584,133"
2016,3,"569,759","51,570",0,0,"621,329"
2016,4,"542,493","35,858",0,0,"578,351"
2017,1,"545,589","46,156",0,0,"591,746"
2017,2,"640,044","60,345",0,0,"700,389"
2017,3,"636,376","50,855",0,0,"687,231"
2017,4,"618,217","47,965",0,0,"666,182"
2018,1,"647,807","56,331",0,0,"704,138"
2018,2,"768,298","83,474",0,0,"851,772"
2018,3,"819,323","85,007",0,0,"904,330"
2018,4,"767,025","95,770",0,0,"862,795"
2019,1,"753,101","102,696",0,0,"855,796"
2019,2,"890,388","122,568",0,0,"1,012,956"
2019,3,"880,867","111,100",0,0,"991,968"
2019,4,"868,955","100,861",0,0,"969,816"
2020,1,"697,828","73,253",0,0,"771,081"
2020,2,"134,373","4,156",0,0,"138,529"
2020,3,"382,629","19,292",0,0,"401,922"
2020,4,"443,656","54,834",0,0,"498,490"
2021,1,"408,693","52,586",0,0,"461,279"
2021,2,"770,800","88,509",0,0,"859,309"
2021,3,"801,767","120,865",0,0,"922,631"
2021,4,"841,398","146,158",0,0,"987,556"
2022,1,"827,054","140,261",0,0,"967,315"
2022,2,"1,165,746","200,896",0,0,"1,366,643"
2022,3,"1,163,193","179,986",0,0,"1,343,179"
2022,4,"1,217,396","173,914",0,0,"1,391,310"
2023,1,"1,175,653","174,121",0,0,"1,349,774"
2023,2,"1,244,818","187,654",0,0,"1,432,472"
2023,3,"1,091,156","167,386",0,0,"1,258,543"
2023,4,"1,164,471","157,289",0,0,"1,321,760"
2024,1,"1,094,690","170,848",0,0,"1,265,537"
2024,2,"1,141,272","139,617",0,0,"1,280,889"
2024,3,"1,084,576","112,528",0,0,"1,197,104"
